run_number,scenario,arrivals,mean_q_time_nurse,mean_time_with_nurse,mean_nurse_utilisation
0,0,10972,0.504541081338615,9.84226781662332,0.4996386466177992
1,0,10784,0.514150649003393,10.060480983450427,0.5019905433327594
2,0,10854,0.5232349226016817,9.925024519746303,0.4981297032213408
3,0,10831,0.4791488631810612,9.937057154394301,0.49822049332297624
4,0,10720,0.46145745726579823,10.01590414797167,0.4968703372055205
5,0,10772,0.3882646868128185,9.884995942861282,0.492904233058074
6,0,10831,0.4669381081669874,10.041799654744745,0.503356251584998
7,0,10781,0.625888360901447,10.086979128063646,0.5034489381047406
8,0,10772,0.4684971326393017,10.202270228377186,0.508790994907774
9,0,10705,0.5634349862001105,10.092602279013327,0.49997178325917613
10,0,10927,0.562585969190057,10.083553615426283,0.5098373896503802
11,0,10688,0.39781182403365434,9.893334037740964,0.4895233535105571
12,0,11092,0.44530362984867583,9.810905063859671,0.5034276977164731
13,0,10640,0.4397605749351992,9.93387996376174,0.48925457544062534
14,0,10904,0.6107822771635987,10.167683587926042,0.513130373051619
15,0,10849,0.47670998312351787,9.975581276412813,0.5009629889699926
16,0,10719,0.428336230071242,9.809804967118033,0.4866947365248423
17,0,10713,0.505574486075843,9.989154604862323,0.4954087210793937
18,0,10568,0.3615821082986753,9.800182515281655,0.4793715775153063
19,0,10707,0.4191589720392036,9.919390638196402,0.4915291568180775
20,0,10845,0.6120142008002236,9.813774247048583,0.49261944375555833
21,0,10726,0.5173212645251098,9.858186468091487,0.48940978932654106
22,0,10618,0.5316566599495316,9.969891296475984,0.4892835610032433
23,0,10914,0.5270546197660896,9.925291785145637,0.5013818263178943
24,0,10660,0.5029697553047842,9.964546080278812,0.49160360886911897
25,0,10685,0.6270646900660448,10.236338445072258,0.5060501169430693
26,0,10806,0.5061794260886525,10.039653295082593,0.5022615440123254
27,0,10748,0.4925537687951073,10.050997027592317,0.4999546777219452
28,0,10589,0.4577189216542841,10.044180668559221,0.4923573694687436
29,0,10863,0.5422405738480466,10.03438389292317,0.5046064549261675
30,0,10796,0.5102078888697092,9.922063713004379,0.49578999982774674
